09/18/2018 07:31:36 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:31:40 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:31:44 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:31:47 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:31:51 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:31:54 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:31:59 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:03 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:07 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:14 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:19 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:23 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:27 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:32 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:35 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:39 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:42 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:45 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:49 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:51 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:55 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:32:58 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:00 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:03 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:07 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:12 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:17 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:20 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:22 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:25 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:29 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:32 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:36 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:40 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:43 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:47 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:49 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:53 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:33:56 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:34:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:34:04 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:34:07 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/18/2018 07:34:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
